data,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
2020-03-06,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-03-07,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
2020-03-08,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0
2020-03-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,11,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,0,0,0,2,0,0,12,0
2020-03-13,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,14,0
2020-03-14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,9,0
2020-03-15,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,71,0
2020-03-16,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0,0,7,0,0,0,0,1,0,16,0
2020-03-17,0,0,0,0,1,5,9,0,3,0,2,2,0,0,0,14,0,0,2,0,0,0,4,0,3,12,0
2020-03-18,0,0,0,0,0,4,4,8,2,0,8,3,0,0,0,0,0,7,12,0,0,0,9,3,1,76,0
2020-03-19,3,3,2,0,27,11,16,2,4,0,14,0,0,1,1,12,0,10,20,0,0,0,9,10,1,46,1
2020-03-20,4,1,0,1,3,35,45,2,3,0,6,2,1,1,0,2,3,9,44,0,1,0,9,1,0,110,0
2020-03-21,2,2,8,0,8,13,13,13,5,1,3,7,1,0,0,0,1,11,10,5,0,0,23,30,4,63,1
2020-03-22,2,0,15,0,8,44,17,0,1,1,45,5,0,2,0,7,0,7,67,3,2,2,12,6,0,172,0
2020-03-23,0,0,6,0,14,51,16,3,2,0,45,0,0,1,1,5,2,6,47,4,0,0,14,11,0,114,3
2020-03-24,6,2,15,0,13,19,27,4,4,6,2,2,5,0,1,0,0,9,72,0,0,0,12,39,5,65,2
2020-03-25,6,2,7,0,8,18,0,6,2,0,3,1,1,2,0,4,2,16,65,1,2,6,25,2,1,52,0
2020-03-26,1,0,13,1,20,35,40,0,10,2,20,1,3,6,2,2,1,21,51,5,0,0,45,13,0,190,0
2020-03-27,1,0,14,0,11,47,30,8,10,3,36,3,0,0,4,8,0,17,72,9,1,2,27,27,0,171,1
2020-03-28,0,3,30,2,12,32,30,6,7,1,16,3,2,4,5,12,2,14,65,17,0,2,2,35,0,183,1
2020-03-29,9,3,29,0,27,34,29,7,2,2,26,5,3,1,0,5,3,15,42,23,0,4,29,10,0,45,0
2020-03-30,8,0,11,4,22,24,23,12,3,7,30,8,2,3,1,5,2,7,57,9,0,0,15,3,0,66,1
2020-03-31,0,1,24,2,37,18,20,12,4,8,14,4,7,11,2,9,2,24,51,5,2,0,33,22,3,822,1
2020-04-01,1,0,25,1,33,54,23,12,6,21,39,3,2,8,3,8,0,45,124,10,1,6,32,16,1,642,1
2020-04-02,0,0,29,0,21,106,15,24,2,19,56,2,9,6,1,11,1,28,160,13,1,4,28,12,3,525,0
2020-04-03,3,4,31,8,15,77,32,19,15,10,27,7,8,4,8,30,2,49,82,71,0,4,62,34,2,542,0
2020-04-04,0,1,51,9,50,103,52,14,15,7,33,2,12,30,3,40,1,94,172,36,1,7,14,53,2,418,2
2020-04-05,2,5,106,1,69,93,14,13,12,8,68,3,4,6,2,25,1,43,148,30,1,5,8,23,5,154,3
2020-04-06,2,3,115,5,30,190,5,28,4,37,27,1,16,16,1,22,0,20,67,4,2,0,63,22,0,246,0
2020-04-07,0,1,104,14,25,38,19,15,14,39,34,14,2,36,1,129,5,45,227,8,4,0,27,38,4,816,2
2020-04-08,4,5,168,59,41,240,17,18,25,58,55,5,12,29,5,49,3,36,250,7,0,7,47,40,0,1026,4
2020-04-09,8,0,95,21,62,134,18,46,21,43,41,4,18,1,14,154,7,70,278,0,10,3,63,44,3,772,0
