,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2020-03-09,0.2857142857142857,,0.3571428571428571,0.07142857142857142,,0.5,,,0.5714285714285714,0.14285714285714285,,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.5,,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.7857142857142857,0.7142857142857142,0.3571428571428571,,0.21428571428571427
2020-03-10,0.3571428571428571,,0.42857142857142855,0.07142857142857142,,0.5714285714285714,,,0.6428571428571428,0.21428571428571427,,0.5,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.5714285714285714,,0.2857142857142857,0.14285714285714285,0.07142857142857142,,0.7857142857142857,0.42857142857142855,,0.2857142857142857
2020-03-11,0.42857142857142855,0.9999807842106958,0.5,0.07142857142857142,,0.6428571428571428,,,0.7142857142857142,0.21428571428571427,0.9968775395448685,0.5714285714285714,0.2857142857142857,0.3571428571428571,0.21428571428571427,0.5,0.2857142857142857,0.6428571428571428,,0.3571428571428571,0.21428571428571427,0.14285714285714285,,0.8571428571428571,0.5,,0.2857142857142857
2020-03-12,0.5,,0.5714285714285714,0.14285714285714285,,0.7142857142857142,,,0.7857142857142857,0.2857142857142857,,0.6428571428571428,0.3571428571428571,0.42857142857142855,0.2857142857142857,,0.3571428571428571,,,0.42857142857142855,0.21428571428571427,0.14285714285714285,,0.9285714285714285,0.5,,0.2857142857142857
2020-03-13,0.5714285714285714,,0.6428571428571428,0.14285714285714285,,0.7857142857142857,0.9739424850466836,,,0.3571428571428571,,0.7142857142857142,0.3571428571428571,0.42857142857142855,0.3571428571428571,,0.3571428571428571,,,,0.2857142857142857,0.21428571428571427,,,0.5,,0.3571428571428571
2020-03-14,0.5714285714285714,,0.7142857142857142,0.21428571428571427,,0.8571428571428571,,0.9523809523312159,,0.42857142857142855,,0.7857142857142857,0.42857142857142855,0.5,0.42857142857142855,,0.42857142857142855,,,,0.2857142857142857,0.2857142857142857,,,0.5,,0.42857142857142855
2020-03-15,0.6428571428571428,0.9999815827446681,,0.21428571428571427,0.9484006521417434,0.9285714285714285,,0.9523798046026375,,0.5,,0.8571428571428571,0.5,0.5714285714285714,0.42857142857142855,,0.5,0.9513686909673933,0.684263433691191,,0.2857142857142857,0.3571428571428571,0.8963649111768197,,,0.29067763734163043,0.42857142857142855
2020-03-16,0.7142857142857142,0.9999902893837319,,0.2857142857142857,0.948400662700338,1.0,0.6270295315514746,0.9523789139565496,0.9038653429219903,0.5714285714285714,0.8638642332334855,,0.5714285714285714,0.6428571428571428,0.5,,0.5714285714285714,,0.6685724846763034,,0.2857142857142857,0.3571428571428571,0.7958100991079049,,,0.4764359416109772,0.5
2020-03-17,0.7142857142857142,0.9999668784605925,,0.3571428571428571,0.9718280857945463,,0.2566688348548139,0.9523847602157318,,0.6428571428571428,0.6865263538078098,,0.6428571428571428,0.7142857142857142,0.5714285714285714,0.5927106752154245,0.6428571428571428,,0.7234875548800632,,0.3571428571428571,0.3571428571428571,0.6798463993591647,0.7647690803068452,,0.5422413834364407,0.5714285714285714
2020-03-18,0.7857142857142857,0.9999751281005979,0.9818317955423618,0.42857142857142855,0.9770186210979886,,0.4496579177662509,0.7048308241657996,0.42481526410097836,0.7142857142857142,0.47664065562883456,,0.7142857142857142,0.7857142857142857,0.6428571428571428,0.5953401360544217,0.6428571428571428,0.691575644167631,0.7719651682578165,,0.42857142857142855,0.42857142857142855,0.5638373636386113,0.4811326706360803,0.7178813741681137,0.3666612195375583,0.6428571428571428
2020-03-19,,0.8764801299884815,0.9260213117417002,0.42857142857142855,0.8074599107309727,,0.29961808624099934,0.6944564327645052,0.2953091877664163,0.7857142857142857,0.45683726535483493,0.7738443430841944,0.7857142857142857,,,0.5253130282878157,0.7142857142857142,0.6654291439922796,0.5239975135913791,,0.5,0.5,0.5931423021826845,0.3758229703741959,0.7127055061148452,0.3931818568659132,
2020-03-20,,0.838419580201038,0.9278876369752584,,0.8303523727818317,0.31625582780559136,0.6635224858682761,0.6738471636436606,0.31012717494872505,0.8571428571428571,0.5836474293805377,0.45968854037846324,,,,0.5083316599048994,,0.4736957742197239,0.2940163147929329,0.9848746221355451,,0.5714285714285714,0.24170508714741268,0.5744929405080191,0.6792391433109369,0.3089966663670192,
2020-03-21,,0.7241926515551684,0.6722559013809661,,0.522109055284716,0.8003286907551879,0.34128208774308044,0.32627172159301576,0.32772518245107407,,0.5466749308165086,0.6137628423535005,,,,0.5741135570974771,,0.18695725952564968,0.5732906875237442,0.7412803234225616,,0.6428571428571428,,0.4003245021166171,0.6942487381506833,0.3276408301802515,
2020-03-22,0.7540142440932276,0.7868600934055617,0.5124519818544359,,0.48882374821576297,0.2571162407456535,0.3578920521504624,0.24903996772801235,0.291092074995043,,0.32173271182015845,0.5230812932920904,,0.4247883240359089,0.965295941678685,0.5730683401999196,,0.1874252052386569,0.27589393688101554,0.7889938852425041,,,0.39275763513827366,0.49164444939506313,0.6244610890228682,0.34637823493575476,0.7641362728989834
2020-03-23,0.6774639028779368,0.7851659262817859,0.6554847407607447,0.9357968892811708,0.20669974846710829,0.49223243990552956,0.3269852422728534,0.251761568917977,0.24131526013714125,,0.3479591243552017,0.4853206639934041,0.9582002468659481,0.4788278566161686,0.6043685383440768,0.3898020500776658,0.5339666292534773,0.20551688384167005,0.18230486007500155,0.655882625696399,0.8355108402423413,,0.33518302041838827,0.2933782760692481,0.6105135087369534,0.33476315178943294,0.5714285714285714
