,count,mean,std,min,25%,50%,75%,max
AC,337.0,0.3106465985988159,0.1335491530136816,0.1269209347987184,0.2189113123350675,0.2703741477489013,0.3596643094545527,0.7857142857142857
AL,335.0,0.2531740711594486,0.18503454519763418,0.0641158748368306,0.1270033365322884,0.2039594935504859,0.3000191267101815,0.999990289383732
AM,337.0,0.23374274120559235,0.11968265099224352,0.0930349864904807,0.1606145854232213,0.2067787802738548,0.2604182967703885,0.9818317955423618
AP,335.0,0.28788718411547537,0.14970383837619408,0.0714285714285714,0.19103337182701874,0.2493257967042182,0.3453272664690966,0.9670365793981328
BA,333.0,0.21269846043940482,0.1299589183999981,0.0398188551341422,0.1443096726089361,0.1920767374629023,0.2513478945018082,0.9770186210979886
CE,337.0,0.31939660053908353,0.10998593191962373,0.1428697338004823,0.2511480385133718,0.3019150176572133,0.3583686513552347,1.0
DF,334.0,0.17309297092602938,0.1012412255468851,0.0487973532827904,0.10789144813999291,0.14398914787180783,0.21591865792202086,0.9739424850466836
ES,335.0,0.1899218506220383,0.12671593591093966,0.0624747923121894,0.1218875376059374,0.1652378372477914,0.2007961979388152,0.9523847602157318
GO,336.0,0.3141999255827889,0.10814107538612089,0.1178883872588473,0.2490644899483169,0.3020653017609648,0.3717000038003493,0.9038653429219904
MA,337.0,0.22602652033001475,0.1257884967771863,0.0765792951370166,0.1446735278222401,0.1907477717565933,0.2601036503335827,0.8571428571428571
MG,334.0,0.18808430096046896,0.10501033313340188,0.0546373224936782,0.12257203920143438,0.1666848432601582,0.23312058866741192,0.9968775395448684
MS,337.0,0.2180916606228691,0.12895965021128078,0.0657006805410883,0.1353304850676191,0.1833452813377505,0.2483950001460503,0.8571428571428571
MT,337.0,0.2277764202707586,0.12370524782880374,0.0629738130756412,0.1404131401111554,0.1966666825424044,0.2796335977837104,0.958200246865948
PA,337.0,0.23572705347343695,0.1409008863211205,0.0613002189807349,0.1404077273053497,0.1818176217573973,0.3079101706336107,0.9778450122555358
PB,336.0,0.23399390044175442,0.11355341569168996,0.0777279617528841,0.1750005918475544,0.20385378168891125,0.2480539206327476,0.965295941678685
PE,335.0,0.20761430490558333,0.11955724726958165,0.0411836607769149,0.14183601988597871,0.1776790513640286,0.21943146945390485,0.780024204920268
PI,336.0,0.19747446276558242,0.12443809701773241,0.0623192001737176,0.12604545665572442,0.1597616050322739,0.2142857142857142,0.749104064791168
PR,335.0,0.23226216416580212,0.11666437136613698,0.0796161102376662,0.15492585520659674,0.1957597298598841,0.2896908903390647,0.9513686909673932
RJ,333.0,0.31796231289958043,0.08422097676258436,0.1705928275375104,0.2680392502842939,0.3031187708470548,0.3461272617262906,0.7719651682578165
RN,333.0,0.37895026270201937,0.12769898400615495,0.166427329014913,0.2882410857264797,0.3555378272492235,0.4560566861511622,0.9848746221355452
RO,337.0,0.25102181291244785,0.12963014359347882,0.0678586846920109,0.1723685372184145,0.2178624767432174,0.2857142857142857,0.9070372188294268
RR,337.0,0.28425248163888267,0.1264686296171601,0.0714285714285714,0.1912486367658802,0.2581069172515289,0.3423389979438307,0.8724729924781759
RS,334.0,0.28585763665894776,0.1277822837496423,0.090694623392137,0.19381174832353892,0.2775741421894886,0.3372033107118002,0.8963649111768197
SC,335.0,0.26807408063423843,0.137677354015899,0.0962499405695798,0.17545308610165666,0.2287953884710281,0.3156492151463613,0.9285714285714284
SE,337.0,0.2860260178437263,0.1583521603439194,0.1030829805306795,0.1703637325161478,0.2208881747184079,0.3615037228575058,0.8696836371089344
SP,334.0,0.24981175551171417,0.11430687682319124,0.0957538276150957,0.17262076138611204,0.2283869614569031,0.2905245426395078,0.7456528208830793
TO,337.0,0.25681446154576215,0.17190513968239482,0.0751068984046891,0.1460470156005527,0.1958090156901669,0.2857142857142857,0.8894210623889696
